[2026-05-01T11:42:32.976Z] GET http://localhost:5174/ → 200 (26ms, 374298B)
[2026-05-01T11:42:33.005Z] GET http://localhost:5174/@vite/client → 200 (157ms, 179205B)
[2026-05-01T11:42:33.005Z] GET https://fonts.googleapis.com/css2?family=Noto+Serif+KR:wght@400;600;700;900&family=Inter:wght@300;400;500;600;700;800;900&display=swap → pending (?ms, ?B)
[2026-05-01T11:42:33.005Z] GET http://localhost:5174/__manus__/debug-collector.js → 200 (146ms, 25168B)
[2026-05-01T11:42:33.007Z] GET http://localhost:5174/src/main.tsx → pending (?ms, ?B)
[2026-05-01T11:42:33.008Z] GET http://localhost:5174/%VITE_ANALYTICS_ENDPOINT%/umami → 404 (142ms, ?B)
[2026-05-01T11:42:33.009Z] GET http://localhost:5174/@react-refresh → 200 (148ms, 111894B)
[2026-05-01T11:42:33.162Z] GET http://localhost:5174/@fs/Users/sangdo/Desktop/HandaroAI/development/handaroai-web/src/node_modules/vite/dist/client/env.mjs → pending (?ms, ?B)
[2026-05-01T11:42:33.322Z] GET http://localhost:5174/@fs/Users/sangdo/Desktop/HandaroAI/development/handaroai-web/src/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=d7d0fff9 → 200 (70ms, 12505B)
[2026-05-01T11:42:33.322Z] GET http://localhost:5174/@fs/Users/sangdo/Desktop/HandaroAI/development/handaroai-web/src/node_modules/.vite/deps/react-dom_client.js?v=8de2d78f → 200 (96ms, 1005474B)
[2026-05-01T11:42:33.322Z] GET http://localhost:5174/src/App.tsx → 200 (75ms, 8979B)
[2026-05-01T11:42:33.322Z] GET http://localhost:5174/src/index.css → 200 (77ms, 221042B)
[2026-05-01T11:42:33.392Z] GET http://localhost:5174/@fs/Users/sangdo/Desktop/HandaroAI/development/handaroai-web/src/node_modules/.vite/deps/chunk-OTTQSYDI.js?v=3d05969e → 200 (10ms, 45629B)
[2026-05-01T11:42:33.392Z] GET http://localhost:5174/@fs/Users/sangdo/Desktop/HandaroAI/development/handaroai-web/src/node_modules/.vite/deps/chunk-PR4QN5HX.js?v=3d05969e → 200 (20ms, 10123B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/src/components/ui/sonner.tsx → 200 (4ms, 4550B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/src/components/ui/tooltip.tsx → 200 (40ms, 10260B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/src/pages/NotFound.tsx → 200 (40ms, 11910B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/@fs/Users/sangdo/Desktop/HandaroAI/development/handaroai-web/src/node_modules/.vite/deps/wouter.js?v=14d8c4ce → 200 (39ms, 15931B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/src/components/ErrorBoundary.tsx → 200 (39ms, 10055B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/src/contexts/ThemeContext.tsx → 200 (39ms, 7630B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/src/pages/Home.tsx → 200 (40ms, 10416B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/src/pages/HomeEn.tsx → 200 (42ms, 10346B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/src/pages/HomeZh.tsx → 200 (42ms, 10346B)
[2026-05-01T11:42:33.398Z] GET http://localhost:5174/src/pages/HomeJp.tsx → 200 (42ms, 10346B)
